path,mean_R,mean_G,mean_B,min_RGB,max_RGB
../data/raw/unzipped_raw_data/test/normal/normal-792.jpg,123.043526,123.043526,123.043526,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-491.jpg,167.49045,167.49045,167.49045,0.0,244.0
../data/raw/unzipped_raw_data/test/normal/normal-696.jpg,131.438,131.438,131.438,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-877.jpg,115.86919,115.86919,115.86919,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-354.jpg,159.00568,159.00568,159.00568,0.0,254.0
../data/raw/unzipped_raw_data/test/normal/normal-753.jpg,98.31321,98.31321,98.31321,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-131.jpg,119.28388,119.28388,119.28388,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-730.jpg,134.422,134.422,134.422,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-459.jpg,147.62006,147.62006,147.62006,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-328.jpg,107.94362,107.94362,107.94362,0.0,249.0
../data/raw/unzipped_raw_data/test/normal/normal-215.jpg,94.6382,94.6382,94.6382,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-500.jpg,150.48267,150.48267,150.48267,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-715.jpg,176.5849,176.5849,176.5849,0.0,248.0
../data/raw/unzipped_raw_data/test/normal/normal-337.jpg,148.39882,148.39882,148.39882,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-129.jpg,140.71877,140.71877,140.71877,1.0,244.0
../data/raw/unzipped_raw_data/test/normal/normal-884.jpg,137.2385,137.2385,137.2385,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-439.jpg,136.7633,136.7633,136.7633,0.0,248.0
../data/raw/unzipped_raw_data/test/normal/normal-117.jpg,124.499466,124.499466,124.499466,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-326.jpg,132.45654,132.45654,132.45654,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-317.jpg,122.5523,122.5523,122.5523,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-191.jpg,121.9173,121.9173,121.9173,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-227.jpg,139.75496,139.75496,139.75496,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-590.jpg,126.28426,126.28426,126.28426,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-531.jpg,167.13075,167.13075,167.13075,2.0,249.0
../data/raw/unzipped_raw_data/test/normal/normal-274.jpg,94.80861,94.80861,94.80861,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-325.jpg,113.315315,113.315315,113.315315,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-645.jpg,123.26037,123.26037,123.26037,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-530.jpg,106.706436,106.706436,106.706436,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-899.jpg,138.12378,138.12378,138.12378,0.0,251.0
../data/raw/unzipped_raw_data/test/normal/normal-693.jpg,171.27437,171.27437,171.27437,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-676.jpg,140.13812,140.13812,140.13812,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-656.jpg,127.45108,127.45108,127.45108,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-606.jpg,120.46974,120.46974,120.46974,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-91.jpg,144.09946,144.09946,144.09946,0.0,251.0
../data/raw/unzipped_raw_data/test/normal/normal-815.jpg,119.181366,119.181366,119.181366,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-527.jpg,142.77173,142.77173,142.77173,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-1.jpg,158.67851,158.67851,158.67851,0.0,254.0
../data/raw/unzipped_raw_data/test/normal/normal-550.jpg,148.88577,148.88577,148.88577,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-222.jpg,104.56305,104.56305,104.56305,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-92.jpg,175.9878,175.9878,175.9878,1.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-721.jpg,107.893585,107.893585,107.893585,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-658.jpg,143.75159,143.75159,143.75159,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-73.jpg,117.22801,117.22801,117.22801,0.0,248.0
../data/raw/unzipped_raw_data/test/normal/normal-107.jpg,120.002686,120.002686,120.002686,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-194.jpg,98.23572,98.23572,98.23572,0.0,234.0
../data/raw/unzipped_raw_data/test/normal/normal-908.jpg,146.59325,146.59325,146.59325,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-54.jpg,156.72125,156.72125,156.72125,0.0,252.0
../data/raw/unzipped_raw_data/test/normal/normal-768.jpg,109.9139,109.9139,109.9139,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-669.jpg,121.303444,121.303444,121.303444,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-231.jpg,95.12439,95.12439,95.12439,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-9.jpg,127.1053,127.1053,127.1053,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-293.jpg,88.87982,88.87982,88.87982,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-192.jpg,123.158066,123.158066,123.158066,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-831.jpg,124.09889,124.09889,124.09889,0.0,255.0
../data/raw/unzipped_raw_data/test/normal/normal-125.jpg,99.56035,99.56035,99.56035,0.0,254.0
../data/raw/unzipped_raw_data/test/normal/normal-457.jpg,92.70962,92.70962,92.70962,0.0,255.0
